,time,open,high,low,close,volume,amount,settelementPrice,openInterest,preClose,suspendFlag
20250103093200,1735867920000,259.3,260.0,259.3,259.6,1913,49674208.99999999,0.0,13,259.3,0
20250103093300,1735867980000,259.59999999999997,260.15999999999997,259.45,259.49,1352,35114947.0,0.0,13,259.59999999999997,0
20250103093400,1735868040000,259.49,259.49,258.85,258.93,1386,35908589.99999999,0.0,13,259.49,0
20250103093500,1735868100000,258.92,258.92,258.0,258.0,1925,49769768.0,0.0,13,258.93,0
20250103093600,1735868160000,258.1,258.78000000000003,258.1,258.71000000000004,2918,75409325.0,0.0,13,258.0,0
20250103093700,1735868220000,258.8,259.67,258.8,259.65000000000003,1298,33637148.00000001,0.0,13,258.71000000000004,0
20250103093800,1735868280000,259.74,260.22,259.73,259.8,1146,29788645.000000004,0.0,13,259.65000000000003,0
20250103093900,1735868340000,259.64,259.64,258.7,259.02,1025,26568860.0,0.0,13,259.8,0
20250103094000,1735868400000,258.98,259.72,258.8,259.7,847,21957114.000000004,0.0,13,259.02000000000004,0
20250103094100,1735868460000,259.70000000000005,259.89000000000004,259.47,259.51000000000005,1017,26414613.0,0.0,13,259.70000000000005,0
20250103094200,1735868520000,259.64,260.4,259.64,260.38,1156,30074168.0,0.0,13,259.51,0
20250103094300,1735868580000,260.45,260.5,260.0,260.21,968,25194976.0,0.0,13,260.38,0
20250103094400,1735868640000,260.26,260.87,260.17,260.68,1364,35525917.0,0.0,13,260.21000000000004,0
20250103094500,1735868700000,260.81,261.33,260.81,260.98,1335,34840742.0,0.0,13,260.68,0
20250103094600,1735868760000,260.96999999999997,261.63,260.89,261.59,1265,33039796.0,0.0,13,260.97999999999996,0
20250103094700,1735868820000,261.69,262.28,261.69,261.82,1729,45297033.0,0.0,13,261.59,0
20250103094800,1735868880000,261.71000000000004,261.71000000000004,261.04,261.24,846,22115309.000000004,0.0,13,261.82,0
20250103094900,1735868940000,261.23,261.25,260.86,261.07,877,22899325.999999996,0.0,13,261.24,0
20250103095000,1735869000000,261.1,261.29,260.98,260.98,1115,29113336.0,0.0,13,261.07,0
20250103095100,1735869060000,260.99,261.58,260.74,260.96000000000004,1183,30902345.0,0.0,13,260.98,0
